RoomNumber,Price,Breakfast,BreakfastDescription,Dinner,DinnerDescription,Brunch,BrunchDescription
21,100,False,Money experience goal member perhaps walk north education site claim buy.,True,,False,Especially black pattern leader lawyer near sometimes science.
3,100,False,,True,Support up member seek outside provide nation nice discover other mission civil animal.,False,
8,100,True,Anything stay agreement energy decision major man training say matter body pretty.,False,Because grow amount final pick everyone.,False,Effect walk animal around between pull.
15,100,False,,True,,False,High anyone already sound radio majority choice.
13,100,True,Us west page religious new book energy already perform.,True,,False,
16,100,True,,True,Address partner just dream generation western.,False,Every old entire which clear organization would away personal grow share.
18,100,True,,False,,False,
5,100,True,Hold small once tax south goal sound approach front from.,True,Admit step behavior question draw green time onto treatment American.,False,
7,100,True,,True,Policy fast out according trip under people arrive from always laugh team.,False,Development along choose natural seven natural firm east we.
22,100,True,Begin it before store billion knowledge region control speak finish what recently light.,False,,False,Hospital good teach television receive into movie rock eye order clearly bar camera.
19,100,True,,False,,False,Must hope table create happy bad behind hour.
4,100,True,Benefit contain that physical theory decision middle card manage.,False,Clearly feel ball try unit more the avoid.,False,Federal policy thing old move mouth mention would son order citizen early.
1,100,False,,True,Much federal rich either early manage measure guess garden baby.,False,Moment guess bank can understand democratic.
14,100,True,,False,,False,
9,100,True,,False,Listen writer perform student too four everything consumer already seat hope blood.,False,Available different sort find only quite.
10,100,True,Often much name bed rise onto whom.,True,View matter blood until health night subject response age upon.,False,
11,100,True,Vote avoid husband would child enjoy most agency democratic sign what example Congress.,False,Source cell specific not thank catch likely exist pay discover should always finish.,False,
12,100,True,Information radio radio and report collection particularly item send our.,True,Behavior list politics option hour soon.,False,
6,100,True,Course Republican office since method girl.,True,Seem drive event expert subject believe question.,False,Alone medical cut stop door year consider green.
20,100,True,,False,,False,
2,100,True,,True,Where tree important international red get yeah maintain magazine once series Republican.,False,Laugh that effect bad partner well none public full.
